# Date,Receipt_Count,month,Month,Day,Year
4/5/2021,8422480,April,4,5,2021
4/6/2021,8140096,April,4,6,2021
4/7/2021,8385138,April,4,7,2021
4/8/2021,8619576,April,4,8,2021
4/9/2021,7961949,April,4,9,2021
4/10/2021,8388608,April,4,10,2021
4/11/2021,8458290,April,4,11,2021
4/12/2021,8206730,April,4,12,2021
4/13/2021,8319338,April,4,13,2021
4/14/2021,8726486,April,4,14,2021
4/15/2021,8342572,April,4,15,2021
4/16/2021,8438884,April,4,16,2021
4/17/2021,8186918,April,4,17,2021
4/18/2021,8195134,April,4,18,2021
4/19/2021,8366630,April,4,19,2021
4/20/2021,8282495,April,4,20,2021
4/21/2021,8641338,April,4,21,2021
4/22/2021,8521710,April,4,22,2021
4/23/2021,8255078,April,4,23,2021
4/24/2021,8221890,April,4,24,2021
4/25/2021,8509398,April,4,25,2021
4/26/2021,8055670,April,4,26,2021
4/27/2021,8266410,April,4,27,2021
4/28/2021,8367438,April,4,28,2021
4/29/2021,8704248,April,4,29,2021
4/30/2021,8728816,April,4,30,2021
5/1/2021,8231674,May,5,1,2021
5/2/2021,8278534,May,5,2,2021
5/3/2021,8727522,May,5,3,2021
5/4/2021,8649710,May,5,4,2021
5/5/2021,8519563,May,5,5,2021
5/6/2021,8435867,May,5,6,2021
5/7/2021,8227322,May,5,7,2021
5/8/2021,8383810,May,5,8,2021
5/9/2021,8109287,May,5,9,2021
5/10/2021,8518147,May,5,10,2021
5/11/2021,8472640,May,5,11,2021
5/12/2021,8359580,May,5,12,2021
5/13/2021,8262562,May,5,13,2021
5/14/2021,8503389,May,5,14,2021
5/15/2021,8498352,May,5,15,2021
5/16/2021,9066670,May,5,16,2021
5/17/2021,8744235,May,5,17,2021
5/18/2021,8688343,May,5,18,2021
5/19/2021,8475700,May,5,19,2021
5/20/2021,8471826,May,5,20,2021
5/21/2021,9020316,May,5,21,2021
5/22/2021,8399861,May,5,22,2021
5/23/2021,8387758,May,5,23,2021
5/24/2021,8637948,May,5,24,2021
5/25/2021,8088783,May,5,25,2021
5/26/2021,8148275,May,5,26,2021
5/27/2021,8682340,May,5,27,2021
5/28/2021,8879871,May,5,28,2021
5/29/2021,8680501,May,5,29,2021
5/30/2021,8083372,May,5,30,2021
5/31/2021,8517990,May,5,31,2021
6/1/2021,8491801,June,6,1,2021
6/2/2021,9031534,June,6,2,2021
6/3/2021,8319351,June,6,3,2021
6/4/2021,8553246,June,6,4,2021
6/5/2021,8534097,June,6,5,2021
6/6/2021,8462584,June,6,6,2021
6/7/2021,8691699,June,6,7,2021
6/8/2021,8686964,June,6,8,2021
6/9/2021,8550358,June,6,9,2021
6/10/2021,8143101,June,6,10,2021
6/11/2021,8645316,June,6,11,2021
6/12/2021,8928652,June,6,12,2021
6/13/2021,9082265,June,6,13,2021
6/14/2021,8796515,June,6,14,2021
6/15/2021,8629607,June,6,15,2021
6/16/2021,8827278,June,6,16,2021
6/17/2021,8946278,June,6,17,2021
6/18/2021,8390857,June,6,18,2021
6/19/2021,8782778,June,6,19,2021
6/20/2021,8817338,June,6,20,2021
6/21/2021,8543719,June,6,21,2021
6/22/2021,8590990,June,6,22,2021
6/23/2021,8774391,June,6,23,2021
6/24/2021,8913737,June,6,24,2021
6/25/2021,8665876,June,6,25,2021
6/26/2021,8707038,June,6,26,2021
6/27/2021,8869334,June,6,27,2021
6/28/2021,9186579,June,6,28,2021
6/29/2021,8372464,June,6,29,2021
6/30/2021,8721093,June,6,30,2021
7/1/2021,8704509,July,7,1,2021
7/2/2021,8939614,July,7,2,2021
7/3/2021,9267015,July,7,3,2021
7/4/2021,8544557,July,7,4,2021
7/5/2021,8735065,July,7,5,2021
7/6/2021,8326629,July,7,6,2021
7/7/2021,8831147,July,7,7,2021
7/8/2021,8857992,July,7,8,2021
7/9/2021,9160117,July,7,9,2021
7/10/2021,8672036,July,7,10,2021
7/11/2021,8670423,July,7,11,2021
7/12/2021,8869283,July,7,12,2021
7/13/2021,8686309,July,7,13,2021
7/14/2021,8654144,July,7,14,2021
7/15/2021,8860853,July,7,15,2021
7/16/2021,9198488,July,7,16,2021
7/17/2021,8960260,July,7,17,2021
7/18/2021,9122667,July,7,18,2021
7/19/2021,9138658,July,7,19,2021
7/20/2021,8987305,July,7,20,2021
7/21/2021,8899455,July,7,21,2021
7/22/2021,9017914,July,7,22,2021
7/23/2021,8480182,July,7,23,2021
7/24/2021,8603099,July,7,24,2021
7/25/2021,8636410,July,7,25,2021
7/26/2021,8996817,July,7,26,2021
7/27/2021,9024807,July,7,27,2021
7/28/2021,9329236,July,7,28,2021
7/29/2021,8979426,July,7,29,2021
7/30/2021,8909272,July,7,30,2021
7/31/2021,8712314,July,7,31,2021
8/1/2021,8861903,August,8,1,2021
8/2/2021,8913143,August,8,2,2021
8/3/2021,9223398,August,8,3,2021
8/4/2021,9410437,August,8,4,2021
8/5/2021,9212329,August,8,5,2021
8/6/2021,9062121,August,8,6,2021
8/7/2021,9432522,August,8,7,2021
8/8/2021,9111057,August,8,8,2021
8/9/2021,8971236,August,8,9,2021
8/10/2021,8799249,August,8,10,2021
8/11/2021,9127038,August,8,11,2021
8/12/2021,9362940,August,8,12,2021
8/13/2021,9077857,August,8,13,2021
8/14/2021,9413465,August,8,14,2021
8/15/2021,8950079,August,8,15,2021
8/16/2021,9215173,August,8,16,2021
8/17/2021,9056307,August,8,17,2021
8/18/2021,8968187,August,8,18,2021
8/19/2021,9357610,August,8,19,2021
8/20/2021,8971426,August,8,20,2021
8/21/2021,9238276,August,8,21,2021
8/22/2021,9372279,August,8,22,2021
8/23/2021,9589375,August,8,23,2021
8/24/2021,8961875,August,8,24,2021
8/25/2021,9160096,August,8,25,2021
8/26/2021,9052229,August,8,26,2021
8/27/2021,8778271,August,8,27,2021
8/28/2021,9245534,August,8,28,2021
8/29/2021,9384023,August,8,29,2021
8/30/2021,9474742,August,8,30,2021
8/31/2021,9189054,August,8,31,2021
9/1/2021,9167277,September,9,1,2021
9/2/2021,9123056,September,9,2,2021
9/3/2021,9251321,September,9,3,2021
9/4/2021,9377700,September,9,4,2021
9/5/2021,9782022,September,9,5,2021
9/6/2021,8930331,September,9,6,2021
9/7/2021,9718666,September,9,7,2021
9/8/2021,9262001,September,9,8,2021
9/9/2021,9095889,September,9,9,2021
9/10/2021,9364629,September,9,10,2021
9/11/2021,9508131,September,9,11,2021
9/12/2021,9264013,September,9,12,2021
9/13/2021,9461281,September,9,13,2021
9/14/2021,9032235,September,9,14,2021
9/15/2021,9574777,September,9,15,2021
9/16/2021,9189740,September,9,16,2021
9/17/2021,9508023,September,9,17,2021
9/18/2021,9580631,September,9,18,2021
9/19/2021,9697272,September,9,19,2021
9/20/2021,9292315,September,9,20,2021
9/21/2021,9090518,September,9,21,2021
9/22/2021,9294810,September,9,22,2021
9/23/2021,9400956,September,9,23,2021
9/24/2021,9871832,September,9,24,2021
9/25/2021,9569204,September,9,25,2021
9/26/2021,9583588,September,9,26,2021
9/27/2021,9412385,September,9,27,2021
9/28/2021,9221235,September,9,28,2021
9/29/2021,9328174,September,9,29,2021
9/30/2021,9192142,September,9,30,2021
10/1/2021,9432155,October,10,1,2021
10/2/2021,9755500,October,10,2,2021
10/3/2021,9562636,October,10,3,2021
10/4/2021,9497084,October,10,4,2021
10/5/2021,9656472,October,10,5,2021
10/6/2021,9461320,October,10,6,2021
10/7/2021,9363588,October,10,7,2021
10/8/2021,9834844,October,10,8,2021
10/9/2021,9113802,October,10,9,2021
10/10/2021,9290592,October,10,10,2021
10/11/2021,9282316,October,10,11,2021
10/12/2021,9725761,October,10,12,2021
10/13/2021,9449353,October,10,13,2021
10/14/2021,9492895,October,10,14,2021
10/15/2021,9599402,October,10,15,2021
10/16/2021,9664876,October,10,16,2021
10/17/2021,9702569,October,10,17,2021
10/18/2021,9574962,October,10,18,2021
10/19/2021,9540428,October,10,19,2021
10/20/2021,9617606,October,10,20,2021
10/21/2021,9509561,October,10,21,2021
10/22/2021,9417190,October,10,22,2021
10/23/2021,9748484,October,10,23,2021
10/24/2021,9476970,October,10,24,2021
10/25/2021,9373507,October,10,25,2021
10/26/2021,9646801,October,10,26,2021
10/27/2021,9635634,October,10,27,2021
10/28/2021,9530612,October,10,28,2021
10/29/2021,9627467,October,10,29,2021
10/30/2021,9879362,October,10,30,2021
10/31/2021,9501436,October,10,31,2021
11/1/2021,9631220,November,11,1,2021
11/2/2021,10004975,November,11,2,2021
11/3/2021,9749567,November,11,3,2021
11/4/2021,9925777,November,11,4,2021
11/5/2021,9863408,November,11,5,2021
11/6/2021,9933505,November,11,6,2021
11/7/2021,9383028,November,11,7,2021
11/8/2021,9607159,November,11,8,2021
11/9/2021,9707735,November,11,9,2021
11/10/2021,9691895,November,11,10,2021
11/11/2021,9854091,November,11,11,2021
11/12/2021,9695957,November,11,12,2021
11/13/2021,10047149,November,11,13,2021
11/14/2021,9845653,November,11,14,2021
11/15/2021,9656831,November,11,15,2021
11/16/2021,10285056,November,11,16,2021
11/17/2021,9606579,November,11,17,2021
11/18/2021,9928425,November,11,18,2021
11/19/2021,9980182,November,11,19,2021
11/20/2021,9915679,November,11,20,2021
11/21/2021,9837099,November,11,21,2021
11/22/2021,9608834,November,11,22,2021
11/23/2021,9893666,November,11,23,2021
11/24/2021,9897017,November,11,24,2021
11/25/2021,10129048,November,11,25,2021
11/26/2021,9828852,November,11,26,2021
11/27/2021,10014982,November,11,27,2021
11/28/2021,10057900,November,11,28,2021
11/29/2021,10204676,November,11,29,2021
11/30/2021,10299217,November,11,30,2021
12/1/2021,9731627,December,12,1,2021
12/2/2021,9674146,December,12,2,2021
12/3/2021,9679469,December,12,3,2021
12/4/2021,10060861,December,12,4,2021
12/5/2021,9771507,December,12,5,2021
12/6/2021,9726983,December,12,6,2021
12/7/2021,10152789,December,12,7,2021
12/8/2021,9961637,December,12,8,2021
12/9/2021,9888931,December,12,9,2021
12/10/2021,10016144,December,12,10,2021
12/11/2021,10025271,December,12,11,2021
12/12/2021,10013123,December,12,12,2021
12/13/2021,10144930,December,12,13,2021
12/14/2021,10246870,December,12,14,2021
12/15/2021,9838107,December,12,15,2021
12/16/2021,9845904,December,12,16,2021
12/17/2021,10220516,December,12,17,2021
12/18/2021,9835059,December,12,18,2021
12/19/2021,9572522,December,12,19,2021
12/20/2021,10379305,December,12,20,2021
12/21/2021,9680446,December,12,21,2021
12/22/2021,10124238,December,12,22,2021
12/23/2021,9464659,December,12,23,2021
12/24/2021,9703857,December,12,24,2021
12/25/2021,10045897,December,12,25,2021
12/26/2021,10738865,December,12,26,2021
12/27/2021,10350408,December,12,27,2021
12/28/2021,10219445,December,12,28,2021
12/29/2021,10313337,December,12,29,2021
12/30/2021,10310644,December,12,30,2021
12/31/2021,10211187,December,12,31,2021
